1.65208e+09	2085
1.54889e+09	2182
1.58303e+09	2182
1.4922e+09	2085
1.57766e+09	2182
1.47582e+09	2182
1.58204e+09	2085
1.49376e+09	2085
1.56275e+09	2085
1.48423e+09	2182
1.55934e+09	2085
1.55007e+09	2251
1.51449e+09	2182
1.48594e+09	2182
1.55058e+09	2182
1.49396e+09	2243
1.55023e+09	2243
1.51775e+09	2085
1.52167e+09	2182
1.53069e+09	2085
1.52641e+09	2182
1.50497e+09	2085
1.53201e+09	2182
1.53277e+09	2085
1.51787e+09	2182
1.50262e+09	2182
1.71361e+09	2095
1.71335e+09	2238
1.68988e+09	2085
1.64562e+09	2085
1.78164e+09	2085
1.59827e+09	2085
1.58304e+09	2182
1.61976e+09	2085
1.61897e+09	2182
1.61552e+09	2182
1.89674e+09	2182
1.52698e+09	2182
1.66059e+09	2085
1.54839e+09	2182
1.56531e+09	2085
1.80862e+09	2085
1.57998e+09	2085
1.58364e+09	2085
1.54802e+09	2085
1.52512e+09	2085
1.55043e+09	2085
1.57275e+09	2085
1.54992e+09	2085
1.53336e+09	2085
1.66443e+09	2085
