1.09145e+10	1027
1.06915e+10	1157
1.04865e+10	1161
1.20301e+10	1254
1.03413e+10	955
9.38445e+09	1109
9.51242e+09	1099
9.36512e+09	1033
9.41253e+09	1079
9.69936e+09	1171
9.53003e+09	927
9.58102e+09	1089
9.35542e+09	1130
9.40141e+09	1010
9.56704e+09	926
9.56098e+09	1033
9.49218e+09	1107
9.47486e+09	1126
9.40076e+09	1138
9.73748e+09	1093
9.67174e+09	1123
8.89943e+09	918
9.76816e+09	1060
1.06217e+10	1217
9.49675e+09	1079
9.50549e+09	1052
9.43714e+09	1086
9.97442e+09	1105
9.36215e+09	1082
9.69339e+09	1004
9.55188e+09	1210
9.60296e+09	1068
9.595e+09	1073
9.52027e+09	1082
9.89702e+09	1089
1.03716e+10	1036
9.36627e+09	1088
9.38959e+09	993
9.46745e+09	1068
9.27675e+09	987
9.36291e+09	1170
9.63992e+09	1302
9.56351e+09	1275
9.36194e+09	1179
9.56046e+09	1187
9.45692e+09	1058
9.70762e+09	1023
9.55271e+09	1217
9.33976e+09	1144
9.34343e+09	1018
9.73281e+09	1102
